species,geo_distance,env_distance,phylo_distance
Acrocephalus caffer,11003342.419578027,4.219534108149061,129.72653443043512
Acrocephalus concinens,10170620.488762889,4.425749642614487,129.75222715426773
Acrocephalus dumetorum,9497092.535684599,6.18931462494427,129.75100863900727
Acrocephalus gracilirostris,9065398.244604893,3.597364665599764,129.73504293524618
Acrocephalus griseldis,9068837.07458246,5.444412742770852,129.74824857546568
Acrocephalus kerearako,10991455.567305587,4.31181770641356,129.72653443073466
Acrocephalus melanopogon,9369493.290400341,5.590856311542771,129.75363029074995
Acrocephalus newtoni,9360381.380853597,3.0999273926842044,129.73540409369923
Acrocephalus orinus,10061261.468241716,3.1221096338713292,129.75226182123916
Acrocephalus paludicola,9311335.27699416,4.892822568069101,129.75319056176826
Acrocephalus palustris,9322068.330555098,5.2654779260737445,129.83650195622593
Acrocephalus rufescens,8984516.149547301,3.7651931226629083,129.73451014477246
Acrocephalus schoenobaenus,8907280.806147678,6.128184354504619,129.75290901398586
Acrocephalus scirpaceus,8918610.83082475,5.23141944040971,129.75317882057558
Acrocephalus sorghophilus,10471945.777331572,3.4413760609169506,129.75290901398586
Acrocephalus stentoreus,9766453.12372162,4.046601264010535,129.7288719893103
Acrocephalus syrinx,10705614.69666734,12.767557214626013,129.8366620919587
Acrocephalus tangorum,10132997.495223405,5.9111998565947195,129.75222715426773
Acropternis orthonyx,9573509.018582063,3.4666728678847507,147.2075047373848
Acryllium vulturinum,9090982.583022432,4.805110338666521,187.60935415317942
Actenoides bougainvillei,10650507.960007817,9.491245220896364,163.90290977126782
Actenoides concretus,10530249.114355592,5.309691924482209,163.90267233736708
Actenoides hombroni,10537651.65590328,5.2145888745372835,163.90290977126782
Actenoides lindsayi,10473558.666154942,4.124698312230876,163.9018700799802
Actenoides monachus,10541919.621825727,4.0248889047178125,163.9018700799802
Actenoides princeps,10541741.589560091,3.9826838406015117,163.90267233736708
Actinodura egertoni,9860810.113072092,3.187411746917609,128.8172366935696
Actinodura ramsayi,10062033.24670323,3.3679274892693205,128.8172366935696
Actinodura sodangorum,10315045.223898308,4.837118441543723,128.81725826406563
Actitis hypoleucos,9644342.680866709,6.147511350463043,166.42622433374765
Actitis macularius,9699652.113131749,5.470005079589227,166.42622433374765
Actophilornis africanus,8918198.795372095,3.311932114746635,166.7623241604486
Actophilornis albinucha,9316636.241874902,3.5780614448862473,166.7623241604486
Adelomyia melanogenys,9569030.143845407,3.1591567545840813,162.63655225312857
Aechmophorus clarkii,10007402.687055811,5.394482399278321,167.70202111494282
