item1,env_distance,geo_distance,phy_distance
Abditomys_latidens,4.849009694249841,11230207.76897771,88.14423241396665
Abeomelomys_sevia,18.040326154921285,12480900.2870104,87.14302371624407
Abrawayaomys_chebezi,4.193768372229994,9103528.502657536,92.93932808343352
Abrawayaomys_ruschii,5.522556470162016,8545498.939809792,92.93932808343352
Abrocoma_bennettii,3.121056010316634,9751251.071474502,124.80777924431123
Abrocoma_boliviensis,2.4795325921498463,9063447.172243,124.85185988852791
Abrocoma_budini,2.824960737451387,9513257.056048864,124.94382474250249
Abrocoma_cinerea,2.86675743695261,9263437.070068726,124.87899509729034
Abrocoma_famatina,3.060960646232296,9569114.189317498,124.73977799410528
Abrocoma_shistacea,3.197158086152687,9743362.623964855,124.80777924431123
Abrocoma_uspallata,3.6947055772566286,9763410.04939766,124.8992360535052
Abrocoma_vaccarum,5.604909571761585,9786174.522310369,124.85185988852791
Abrothrix_andinus,3.022612246166592,9353185.927403465,88.9122503143505
Abrothrix_hershkovitzi,8.0114268610341,10413755.090639075,88.87923333352984
Abrothrix_illuteus,3.3073951248238136,9441576.227421878,88.9659446674883
Abrothrix_jelskii,3.3131202790995395,9470496.676587775,88.9659446674883
Abrothrix_lanosus,3.9801272746384213,10360718.850237723,88.91195090503169
Abrothrix_longipilis,3.857443009211149,10176835.90983059,88.95794991157753
Abrothrix_manni,3.759035755629024,10081976.447401203,88.85147246690913
Abrothrix_markhami,12.256814983837234,10445663.804483252,88.83235683117441
Abrothrix_olivaceus,3.857443009211149,10155621.832638107,88.83235683117441
Abrothrix_sanborni,7.054151402643514,10313923.802393232,88.85147246690913
Acomys_airensis,4.942081367004308,8780470.493581776,103.18496468829892
Acomys_cahirinus,4.72334673323617,9780300.042947106,102.88266495632979
Acomys_cilicicus,2.880068536255277,9801089.178230615,102.74045907140182
Acomys_cineraceus,3.040800657820929,9723394.358891876,103.427409372539
Acomys_dimidiatus,4.549201219092753,9977495.384864256,102.88266495632979
Acomys_ignitus,4.162664019340957,9541294.212963307,103.13515870954768
Acomys_johannis,3.6247121001233693,8473554.80443098,103.06255183577483
Acomys_kempi,2.7266700129292145,9534908.67146157,103.05227890560475
Acomys_louisae,2.582426631217097,9744046.691240918,103.47304940284303
Acomys_minous,3.2271264762031127,9678045.646312,102.69759465936902
Acomys_mullah,4.628841879428216,9776201.94862044,103.11194603061985
Acomys_muzei,3.0813367346843097,9819099.611900209,103.4660723386018
Acomys_nesiotes,3.0067884539150995,9840439.559824193,102.69759465936902
Acomys_ngurui,5.276081468874139,9603730.564802494,103.47304940284303
Acomys_percivali,2.9875172301325,9621196.661140751,103.11194603061985
Acomys_russatus,2.37174920496218,9812543.741996717,103.18496468829892
Acomys_seurati,4.890062104660068,9208605.705951754,103.07098238949149
Acomys_spinosissimus,4.340274304405368,9720875.198545532,103.427409372539
Acomys_subspinosus,4.223689730422569,9749060.139006324,103.31170272917352
Acomys_wilsoni,3.063042873563663,9600644.743838904,103.05227890560475
Aconaemys_fuscus,3.3021647705821846,9965691.006435618,122.92531529339963
Aconaemys_porteri,7.988014041751451,10132419.313124208,122.95824684326845
Aconaemys_sagei,3.0994013927594257,10121019.819083352,122.92531529339963
Aegialomys_galapagoensis,2.722357339384149,11453674.374435795,87.96493059472394
Aegialomys_xanthaeolus,4.564728728857131,10308292.656479942,87.96493059472394
Aepeomys_lugens,3.2733219495576353,9409722.7847575,88.51766388018599
Aepeomys_reigi,3.172925032565808,9256777.695384605,88.51766388018599
Aeretes_melanopterus,3.998557984725598,9932792.05302883,122.90368713572599
Aeromys_tephromelas,4.113309994821527,9724386.124405256,123.0974857402332
Aeromys_thomasi,13.463191803573208,10947410.90476023,123.0974857402332
Aethomys_bocagei,3.168152257443773,9377234.620854093,88.67241666587007
Aethomys_chrysophilus,3.1689074962937265,9598250.860780269,88.53493029463469
Aethomys_granti,3.4272602537613133,9764834.852762155,88.67241666587007
Aethomys_hindei,3.404498579091178,9977236.849027978,88.63482516473921
Aethomys_ineptus,2.6459919025499143,9615448.76181711,88.60892208398266
Aethomys_kaiseri,4.378713591015767,9855395.573961971,89.01752761630523
Aethomys_namaquensis,2.990736180552498,9553429.664060265,89.09646741683564
Aethomys_nyikae,4.992566669959963,9666289.797373371,88.53493029463469
Aethomys_silindensis,5.540264292848022,9675465.062678816,88.70452819398442
Aethomys_stannarius,3.983827357258205,9351367.031476138,88.60892208398266
Aethomys_thomasi,3.0204646456799424,9441353.528531956,88.63482516473921
Akodon_aerosus,15.55763974108585,10254692.12029843,86.89835795710157
Akodon_affinis,7.646544957558991,9919996.888556026,86.79934887211373
Akodon_albiventer,3.0771916752445114,9282124.274958052,86.92198775175493
Akodon_aliquantulus,2.4208002317885504,9295238.550550796,88.33374399547306
Akodon_azarae,4.788940014793531,9628199.055099595,86.63620569384477
Akodon_bogotensis,5.390783857766453,9714467.53176462,89.1803650247792
Akodon_boliviensis,3.0771916752445114,9231872.773282807,86.57522364495017
Akodon_budini,4.494544084995951,9265001.479844725,86.95782639598451
Akodon_cursor,3.6116233706239327,8447907.68788578,86.80994920145636
Akodon_dayi,5.938323927459489,9040590.133192578,86.86104606124924
Akodon_dolores,2.7987172064578782,9567181.410791034,86.7931077630917
Akodon_fumeus,6.141068691046845,9100503.436981237,86.60809965858331
Akodon_iniscatus,4.33501017566673,10100448.161812508,86.93692350940046
Akodon_josemariarguedasi,3.3258045915866448,10080769.738600062,88.53332926829677
Akodon_juninensis,3.8424812729781834,10009623.676941345,86.63936393993133
Akodon_kofordi,18.61995633757594,9467724.489697823,86.60809965858331
Akodon_latebricola,9.702135133232098,10260196.664846497,89.777014546722
Akodon_lindberghi,4.173862142914837,8625269.506114893,86.84528410094185
Akodon_lutescens,3.2770168058437754,9194129.995167786,86.61764172570216
Akodon_mimus,3.382933923871776,9217773.817050798,87.17207287215808
Akodon_molinae,4.33501017566673,9898323.132765682,86.7931077630917
Akodon_mollis,2.915306294884938,10314512.09423216,86.78785241344121
Akodon_montensis,3.5741971718684877,8947188.935679479,86.76507011665561
Akodon_mystax,3.4852605243295804,8537995.080749854,86.73746375698077
Akodon_neocenus,3.6649152424225457,9996544.102412796,86.85527154893818
Akodon_oenos,2.9252311160145834,9778735.709741645,88.1680557958609
Akodon_orophilus,7.77413962748122,10205556.371478384,86.78785241344121
Akodon_paranaensis,5.610194568498281,9044200.341950072,86.73746375698077
Akodon_pervalens,2.605432765078775,9180549.65092838,86.79934887211373
Akodon_philipmyersi,4.748501554723024,9237803.162248973,86.84528410094185
Akodon_polopi,2.797702707658788,9569624.12122003,86.56110495527729
Akodon_reigi,4.617525364288664,9312281.402387263,86.76851100125644
Akodon_sanctipaulensis,3.1294037638151915,8791751.789251316,88.09555632984875
Akodon_serrensis,4.711389823183709,8822693.412858851,87.57837259430282
Akodon_siberiae,6.441617193143145,9052220.573406536,86.95782616112282
Akodon_simulator,2.5027701529931012,9366027.276746295,86.88302308725025
Akodon_spegazzinii,3.3073951248238136,9438304.384943431,86.57522364495017
Akodon_subfuscus,17.97149284431049,9464597.551026229,86.61764172570216
Akodon_surdus,3.277180922835455,9742382.548430214,87.31871358606786
Akodon_sylvanus,4.2949166657520506,9274861.51453946,86.56110495527729
Akodon_toba,2.7656444543945855,9103049.688210756,86.83352297000374
Akodon_torques,17.972572112038613,9736526.547125423,86.82504258065593
Akodon_varius,3.9066827169430023,9076814.721236942,86.88302308725025
Allactaga_balikunica,3.7509184712376955,9567365.487081043,119.4019453483073
Allactaga_bullata,3.6490566069314148,9568181.744897507,119.38173492418065
Allactaga_elater,3.0564823994061707,9062313.727246271,119.66003493752193
Allactaga_euphratica,4.438064447047545,9885178.831703346,119.70501025031844
Allactaga_firouzi,3.930651370214489,9500610.084241664,119.49092634938839
Allactaga_hotsoni,4.425858405902393,8846919.851044191,119.49092634938839
Allactaga_major,5.999765368771039,9246190.771321945,119.61604651162924
Allactaga_severtzovi,3.7864267717673417,9154511.572649963,120.252148199405
Allactaga_sibirica,6.130213139291135,9180006.34272207,119.4019453483073
Allactaga_tetradactyla,3.902339156940039,9764227.147291671,119.56996523319103
Allactaga_toussi,3.6128611855166333,8989563.730343457,119.66003493752193
Allactaga_vinogradovi,3.1135991625478985,8830631.73077258,119.59066580288233
Allactaga_williamsi,2.7326751234368585,9681697.63050376,119.56996523319103
Allactodipus_bobrinskii,3.522745958912794,9175977.179433744,119.61604651162924
Allocricetulus_curtatus,4.34724366337262,9662022.488733113,98.99515290427853
Allocricetulus_eversmanni,6.03240973301682,9176652.235329762,98.99515290427853
Alticola_albicaudus,5.139441828582262,8578489.105142877,92.54606964273003
